Regio's,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Groningen (PV),"23,7","23,8","24,0","25,1","25,1","26,0","26,6","26,9","28,3","29,2","30,8","32,2","34,7"
Friesland (PV),"24,1","24,2","24,5","25,6","25,5","26,5","27,3","27,7","29,3","30,0","31,2","33,1","35,5"
Drenthe (PV),"24,9","25,1","25,2","26,5","26,4","27,5","28,3","28,6","30,1","31,0","32,5","34,2","36,7"
Overijssel (PV),"24,8","25,0","25,2","26,5","26,3","27,4","28,3","28,5","30,5","31,3","32,7","34,6","37,3"
Flevoland (PV),"25,4","25,3","25,6","26,8","26,9","28,0","28,7","29,2","30,9","31,7","33,3","35,3","37,8"
Gelderland (PV),"26,0","26,2","26,3","27,8","27,4","28,6","29,5","29,7","32,0","32,4","33,8","35,7","38,4"
Utrecht (PV),"28,4","28,6","28,8","30,5","30,3","31,4","32,4","32,7","35,0","35,5","37,2","39,3","42,2"
Noord-Holland (PV),"27,2","27,4","27,6","29,2","29,2","30,3","31,4","31,8","34,3","34,7","36,6","38,8","41,6"
Zuid-Holland (PV),"26,5","26,6","26,8","28,2","28,0","29,0","30,0","30,2","32,5","32,9","34,3","36,4","39,1"
Zeeland (PV),"25,8","25,9","26,2","27,6","27,4","28,2","29,0","29,2","31,1","31,7","33,2","35,0","37,4"
Noord-Brabant (PV),"26,5","26,7","26,9","28,3","28,1","29,2","30,3","30,5","32,7","33,1","34,6","36,6","39,3"
Limburg (PV),"24,9","25,2","25,2","26,4","26,4","27,4","28,1","28,4","30,2","30,7","32,0","33,8","36,3"
