Samenstelling huishouden,Overige kenmerken,Perioden,Bruto-inkomen (1 000 euro),
Totaal eenpersoonshuishouden,Hoofdkostwinner tot 25 jaar,2014,11,3
Totaal eenpersoonshuishouden,Hoofdkostwinner 25 tot 30 jaar,2014,29,
Totaal eenpersoonshuishouden,Hoofdkostwinner 30 tot 35 jaar,2014,39,2
Totaal eenpersoonshuishouden,Hoofdkostwinner 35 tot 40 jaar,2014,41,6
Totaal eenpersoonshuishouden,Hoofdkostwinner 40 tot 45 jaar,2014,43,3
Totaal eenpersoonshuishouden,Hoofdkostwinner 45 tot 50 jaar,2014,41,8
Totaal eenpersoonshuishouden,Hoofdkostwinner 50 tot 55 jaar,2014,41,
Totaal eenpersoonshuishouden,Hoofdkostwinner 55 tot 60 jaar,2014,41,8
Totaal eenpersoonshuishouden,Hoofdkostwinner 60 tot 65 jaar,2014,38,1
Totaal eenpersoonshuishouden,Hoofdkostwinner 65 tot 70 jaar,2014,30,5
Totaal eenpersoonshuishouden,Hoofdkostwinner 70 tot 75 jaar,2014,27,3
Totaal eenpersoonshuishouden,Hoofdkostwinner 75 jaar of ouder,2014,25,5
