Datum,Waarde
2017-06-01,264362
2017-07-01,264007
2017-08-01,268452
2017-09-01,269817
2017-10-01,269083
2017-11-01,267868
2017-12-01,265122
2018-01-01,276906
2018-02-01,275201
2018-03-01,281548
2018-04-01,280027
2018-05-01,283945
2018-06-01,289399
2018-07-01,290731
2018-08-01,294203
2018-09-01,291218
2018-10-01,294050
2018-11-01,297502
2018-12-01,288356
2019-01-01,302157
2019-02-01,298717
2019-03-01,302845
2019-04-01,302456
2019-05-01,303240
2019-06-01,301736
2019-07-01,309689
2019-08-01,316183
2019-09-01,314225
2019-10-01,312772
2019-11-01,312866
2019-12-01,312957
2020-01-01,329450
2020-02-01,320889
2020-03-01,326529
2020-04-01,326232
2020-05-01,333093
2020-06-01,324195
2020-07-01,336957
2020-08-01,336277
2020-09-01,345443
2020-10-01,350244
2020-11-01,344217
2020-12-01,333199
2021-01-01,357458
2021-02-01,369070
2021-03-01,407014
2021-04-01,362525
2021-05-01,361001
2021-06-01,373384
2021-07-01,395786
2021-08-01,402308
2021-09-01,405165
2021-10-01,408987
2021-11-01,403941
2021-12-01,396848
2022-01-01,434886
2022-02-01,419361
2022-03-01,426183
2022-04-01,429020
2022-05-01,429077
2022-06-01,428932
2022-07-01,445241
2022-08-01,446263
2022-09-01,437996
2022-10-01,428079
2022-11-01,423124
2022-12-01,401436
2023-01-01,424681
2023-02-01,410189
2023-03-01,415141
2023-04-01,401374
2023-05-01,403913
2023-06-01,412943
2023-07-01,413917
2023-08-01,416595
2023-09-01,422175
2023-10-01,424521
2023-11-01,421284
2023-12-01,422372
2024-01-01,433285
2024-02-01,427279
2024-03-01,435049
2024-04-01,435984
2024-05-01,445430
2024-06-01,441112
2024-07-01,457320
2024-08-01,466207
2024-09-01,466890
2024-10-01,467355
2024-11-01,461931
2024-12-01,457467
2025-01-01,474534
2025-02-01,467363
2025-03-01,467873
2025-04-01,472054
